Mon Dec  3 13:28:00 2018

Device Id 10.0.0.37 	 Device Title taplow-37.skills-1st.co.uk 	 IP address 10.0.0.37 	 Production State -1 	 Device templates ['SnmpPacketsInOut', 'Device', 'ProcessCheck_firefox'] 
Device Id 10.191.0.191 	 Device Title 10.191.0.191 	 IP address 10.191.0.191 	 Production State -1 	 Device templates ['Device'] 
Device Id 109.202.131.150 	 Device Title 109.202.131.150 	 IP address 109.202.131.150 	 Production State -1 	 Device templates ['Device', 'ipSecNATCount', 'ipSecPolicyCount', 'ipSecVPNPhase1Count', 'ipSecVPNPhase2Count', 'JuniperMemoryUsedPercent'] 
Device Id 192.168.2.1 	 Device Title 192.168.2.1 	 IP address 192.168.2.1 	 Production State -1 	 Device templates ['Device'] 
Device Id 212.60.106.246 	 Device Title 212.60.106.246 	 IP address 212.60.106.246 	 Production State -1 	 Device templates ['ApcUps', 'Device', 'ApcUpsInsAndOuts'] 
Device Id 212.60.107.3 	 Device Title 212.60.107.3 	 IP address 212.60.107.3 	 Production State -1 	 Device templates ['Device', 'ipSecNATCount', 'ipSecPolicyCount', 'ipSecVPNPhase1Count', 'ipSecVPNPhase2Count', 'JuniperMemoryUsedPercent'] 
Device Id 212.60.114.26 	 Device Title 212.60.114.26 	 IP address 212.60.114.26 	 Production State -1 	 Device templates ['Device'] 
Device Id 212.60.96.1 	 Device Title crt01.gch.zensystems.net 	 IP address 212.60.96.1 	 Production State -1 	 Device templates ['Device'] 
Device Id 212.60.97.6 	 Device Title sts.ixn.zensystems.net 	 IP address 212.60.97.6 	 Production State -1 	 Device templates ['Device', 'ipSecNATCount', 'ipSecPolicyCount', 'ipSecVPNPhase1Count', 'ipSecVPNPhase2Count', 'JuniperMemoryUsedPercent'] 
Device Id 87.116.28.57 	 Device Title 87.116.28.57 	 IP address 87.116.28.57 	 Production State -1 	 Device templates ['Device', 'ipSecVPNPhase1Count', 'ipSecVPNPhase2Count', 'JuniperSRX550_CPU_Mem'] 
Device Id ExampleDevice1 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Device'] 
Device Id PRD00GTW 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Markit_Database_backup_age'] 
Device Id PRD00INT 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Markit_Database_backup_age'] 
Device Id PRD00JRA 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Markit_Database_backup_age'] 
Device Id PRD00LOG 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Markit_Database_backup_age'] 
Device Id PRD00MIS 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Markit_Database_backup_age'] 
Device Id PRD00MSV 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Markit_Database_backup_age'] 
Device Id PRD00MTM 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Markit_Database_backup_age'] 
Device Id PRD00OEM 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Markit_Database_backup_age'] 
Device Id PRD00PAC 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Markit_Database_backup_age'] 
Device Id PRD00PRC 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Markit_Database_backup_age'] 
Device Id PRD00REP 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Markit_Database_backup_age'] 
Device Id TMS_Pulse_prodapp16 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['TMS_Pulse_Template'] 
Device Id TMS_Pulse_prodapp17 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['TMS_Pulse_Template'] 
Device Id blue-atlas.skills-1st.co.uk 	 Device Title blue-atlas.skills-1st.co.uk 	 IP address 10.0.0.2 	 Production State 250 	 Device templates ['Device'] 
Device Id deodar-mgt.skills-1st.co.uk 	 Device Title deodar-mgt.skills-1st.co.uk 	 IP address 10.0.0.96 	 Production State 250 	 Device templates ['Device'] 
Device Id deodar.skills-1st.co.uk 	 Device Title deodar.skills-1st.co.uk 	 IP address 10.0.0.95 	 Production State 250 	 Device templates ['SnmpPacketsInOut', 'Device', 'ProcessCheck_firefox'] 
Device Id elk.ourshack.com 	 Device Title elk.ourshack.com 	 IP address 89.16.172.16 	 Production State 250 	 Device templates ['LDAPMonitor'] 
Device Id epson.skills-1st.co.uk 	 Device Title CC printer 	 IP address 10.0.0.89 	 Production State 1000 	 Device templates ['Device'] 
Device Id group-100-b1.class.example.org 	 Device Title  	 IP address 172.31.100.19 	 Production State 1000 	 Device templates ['Device'] 
Device Id group-100-b2.class.example.org 	 Device Title  	 IP address 172.31.100.20 	 Production State 1000 	 Device templates ['Device'] 
Device Id group-100-c1.class.example.org 	 Device Title  	 IP address 172.31.100.34 	 Production State 1000 	 Device templates ['Device'] 
Device Id group-100-c2.class.example.org 	 Device Title  	 IP address 172.31.100.35 	 Production State 1000 	 Device templates ['Device'] 
Device Id group-100-c3.class.example.org 	 Device Title  	 IP address 172.31.100.36 	 Production State 1000 	 Device templates ['Device'] 
Device Id group-100-r1.class.example.org 	 Device Title group-100-r1.class.example.org 	 IP address 10.191.100.4 	 Production State 1000 	 Device templates ['Device', 'Layer2Info'] 
Device Id group-100-r2.class.example.org 	 Device Title group-100-r2.class.example.org 	 IP address 172.30.100.2 	 Production State 1000 	 Device templates ['Device', 'Layer2Info'] 
Device Id group-100-r3.class.example.org 	 Device Title group-100-r3.class.example.org 	 IP address 172.31.100.2 	 Production State 1000 	 Device templates ['Device', 'Layer2Info'] 
Device Id group-100-s1.class.example.org 	 Device Title group-100-s1.class.example.org 	 IP address 172.31.100.37 	 Production State 1000 	 Device templates ['Bridge_Stp_Topo', 'Device'] 
Device Id group-100-s2.class.example.org 	 Device Title group-100-s2.class.example.org 	 IP address 172.31.100.21 	 Production State 1000 	 Device templates ['Bridge_Stp_Topo', 'Device'] 
Device Id group-100-serv1.class.example.org 	 Device Title  	 IP address 172.31.100.4 	 Production State 1000 	 Device templates ['SnmpPacketsInOut', 'Device', 'ProcessCheck_firefox'] 
Device Id home.dyn.bueche.ch 	 Device Title home.dyn.bueche.ch 	 IP address 217.162.248.213 	 Production State 250 	 Device templates ['Device', 'Layer2Info'] 
Device Id hp7410.skills-1st.co.uk 	 Device Title hp7410.skills-1st.co.uk 	 IP address 10.0.0.97 	 Production State -1 	 Device templates ['Device'] 
Device Id i-09d620ed 	 Device Title Win2008 Zenoss test 2 Skills 	 IP address 54.216.31.130 	 Production State -1 	 Device templates ['Device', 'WMI_UDP', 'Telephony'] 
Device Id i-0e1a1878 	 Device Title zenoss 3.1  instructor m/c  - use for presentations 	 IP address 176.34.209.168 	 Production State -1 	 Device templates ['SnmpPacketsInOut', 'Device', 'ProcessCheck_firefox'] 
Device Id i-18dce557 	 Device Title Win2008 Zenoss test 2 	 IP address 54.74.45.122 	 Production State -1 	 Device templates ['Device'] 
Device Id i-8e14f9c4 	 Device Title Zenoss 4.2.3 event management instructors system 	 IP address 54.78.91.238 	 Production State -1 	 Device templates ['SnmpPacketsInOut', 'Device', 'ProcessCheck_firefox'] 
Device Id i-93c30ddc 	 Device Title Zenoss 4.2.4 upgraded from 4.2.3 VNC 443 redirect for 5904 	 IP address 54.155.55.251 	 Production State -1 	 Device templates ['SnmpPacketsInOut', 'Device', 'ProcessCheck_firefox'] 
Device Id kea.ourshack.com 	 Device Title kea.ourshack.com 	 IP address 194.106.223.201 	 Production State 250 	 Device templates ['LDAPMonitor'] 
Device Id lotschy.skills-1st.co.uk 	 Device Title lotschy.skills-1st.co.uk 	 IP address 10.0.0.125 	 Production State 250 	 Device templates ['ESXiHost'] 
Device Id pi 	 Device Title pi 	 IP address 10.1.1.30 	 Production State 250 	 Device templates ['DnsMonitor', 'Device'] 
Device Id pig.ourshack.com 	 Device Title pig.ourshack.com 	 IP address 194.106.223.202 	 Production State 250 	 Device templates ['rtt', 'Device', 'ProcessCheck_firefox'] 
Device Id rb2011.skills-1st.co.uk 	 Device Title rb2011.skills-1st.co.uk 	 IP address 10.0.0.254 	 Production State 250 	 Device templates ['Device', 'Layer2Info'] 
Device Id taplow-11.skills-1st.co.uk 	 Device Title taplow-11.skills-1st.co.uk 	 IP address 10.0.0.11 	 Production State 250 	 Device templates ['Disk_free_df', 'Device', 'DiskFreeDfPython'] 
Device Id taplow-18.skills-1st.co.uk 	 Device Title  	 IP address 10.0.0.18 	 Production State -1 	 Device templates ['Device'] 
Device Id taplow-24.skills-1st.co.uk 	 Device Title taplow-24.skills-1st.co.uk 	 IP address 10.0.0.24 	 Production State -1 	 Device templates ['Device'] 
Device Id taplow-25.skills-1st.co.uk 	 Device Title taplow-25.skills-1st.co.uk 	 IP address 10.0.0.25 	 Production State -1 	 Device templates ['Device'] 
Device Id taplow-26.skills-1st.co.uk 	 Device Title taplow-26.skills-1st.co.uk 	 IP address 10.0.0.26 	 Production State -1 	 Device templates ['Device'] 
Device Id taplow-27.skills-1st.co.uk 	 Device Title taplow-27.skills-1st.co.uk 	 IP address 10.0.0.27 	 Production State -1 	 Device templates ['Device'] 
Device Id taplow-30.skills-1st.co.uk 	 Device Title taplow-30.skills-1st.co.uk 	 IP address 10.0.0.30 	 Production State 250 	 Device templates ['DnsMonitor', 'Device'] 
Device Id taplow-31.skills-1st.co.uk 	 Device Title taplow-31.skills-1st.co.uk 	 IP address 10.0.0.31 	 Production State -1 	 Device templates ['Device'] 
Device Id taplow-32.skills-1st.co.uk 	 Device Title  	 IP address 10.0.0.32 	 Production State -1 	 Device templates ['Device'] 
Device Id taplow-33.skills-1st.co.uk 	 Device Title taplow-33.skills-1st.co.uk 	 IP address 10.0.0.33 	 Production State -1 	 Device templates ['Device'] 
Device Id taplow-38.skills-1st.co.uk 	 Device Title taplow-38.skills-1st.co.uk 	 IP address 10.0.0.38 	 Production State -1 	 Device templates ['Device'] 
Device Id testdb32 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Device'] 
Device Id testdb32_app 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Device'] 
Device Id testdb33_app 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Device'] 
Device Id testdb33_rig1_app 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Device'] 
Device Id testdb33_rig3_app 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Device'] 
Device Id testdb34 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Device'] 
Device Id testdb34_app 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Device'] 
Device Id testdb35 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['HttpMonitor'] 
Device Id testdb35_app 	 Device Title  	 IP address  	 Production State -1 	 Device templates ['Device'] 
Device Id tile.skills-1st.co.uk 	 Device Title tile.skills-1st.co.uk 	 IP address 10.0.0.98 	 Production State -1 	 Device templates ['Device'] 
Device Id wifi.skills-1st.co.uk 	 Device Title wifi.skills-1st.co.uk 	 IP address 10.0.0.240 	 Production State 250 	 Device templates ['Device', 'Layer2Info'] 
Device Id win2003.class.example.org 	 Device Title win2003.class.example.org 	 IP address 172.16.222.203 	 Production State 1000 	 Device templates ['Device_WMI', 'Device'] 
Device Id win2003net.class.example.org 	 Device Title  	 IP address 172.16.222.204 	 Production State 1000 	 Device templates ['PyTestSnmpCpu', 'PyTestSnmpMem', 'PyTestSnmpServProc'] 
Device Id www_barndance_org 	 Device Title www.barndance.org 	 IP address  	 Production State 400 	 Device templates ['HttpMonitor'] 
Device Id www_maidenhead_cc 	 Device Title www.maidenhead.cc 	 IP address  	 Production State 250 	 Device templates ['HttpMonitor'] 
Device Id www_nv-l_org 	 Device Title www.nv-l.org 	 IP address  	 Production State 1000 	 Device templates ['HttpMonitor', 'HttpMonitorMulti_nv-l'] 
Device Id www_ruufds_org_uk 	 Device Title www.ruufds.org.uk 	 IP address  	 Production State 1000 	 Device templates ['HttpMonitor', 'HttpMonitorMulti_ruufds'] 
Device Id www_skills-1st_co_uk 	 Device Title www.skills-1st.co.uk 	 IP address  	 Production State 1000 	 Device templates ['HttpMonitor', 'HttpMonitorMulti_skills'] 
Device Id zen31.class.example.org 	 Device Title zen31.class.example.org 	 IP address 192.168.10.136 	 Production State 250 	 Device templates ['SnmpPacketsInOut', 'Device', 'ProcessCheck_firefox'] 
Device Id zen42.class.example.org 	 Device Title zen42.class.example.org 	 IP address 192.168.10.42 	 Production State 1000 	 Device templates ['Device', 'LDAPMonitor', 'ProcessCheck_firefox', 'PyTest5', 'SnmpPacketsInOut', 'sql_script_test', 'SqlDatasourceTest1', 'test', 'test1', 'UCD_swap', 'uptimeTwisted'] 
Device Id zenny.skills-1st.co.uk 	 Device Title  	 IP address 192.168.10.1 	 Production State 1000 	 Device templates ['check_ftp_fully', 'Device', 'DnsMonitor', 'FtpMonitor', 'ProcessCheck_firefox', 'ProcessCheck_vmnet', 'SnmpPacketsInOut', 'snmpv3test', 'test1', 'LDAPMonitor'] 
Device Id zenny1.class.example.org 	 Device Title zenny1.class.example.org 	 IP address 192.168.10.133 	 Production State 1000 	 Device templates ['Device', 'ProcessCheck_firefox', 'SnmpPacketsInOut', 'ping_test_script'] 
Device Id zenny2.class.example.org 	 Device Title zenny2.class.example.org 	 IP address 192.168.10.134 	 Production State 1000 	 Device templates ['Device', 'Disk_free_df', 'DiskFreeDfPython', 'rtt', 'ping_test_script'] 
Device Id zenny3.class.example.org 	 Device Title zenny3.class.example.org 	 IP address 192.168.10.135 	 Production State 1000 	 Device templates ['SnmpPacketsInOut', 'Device', 'ProcessCheck_firefox'] 
